address,type,size,symbol
0x0041b130,function,,?SwapTextureChannels@@YAXHDHD@Z
0x0041b250,function,,?ReplicateTextureChannel@@YAHHD@Z
0x0041b2a0,function,,?ShadeTextureLayerByChannel@@YAXHHD@Z
0x0041b340,function,,?CopyTextureChannel@@YAXHDHD@Z
0x0041b400,function,,?MixTextureLayers@@YAXHHH@Z
0x0041b4a0,function,,?MultiplyTextureLayers@@YAXHH@Z
0x0041b550,function,,?AdjustTextureContrast@@YAXHH@Z
0x0041b650,function,,?ApplyTextureColorMap@@YAXHH@Z
0x0041b6b0,function,,?ApplyTextureCosineWave@@YAXHDH@Z
0x0041b750,function,,?RemapTextureChannelRange@@YAXHDHH@Z
0x0041b800,function,,?ExpandTextureBitmap@@YAPAIHPAEII@Z
0x0041b850,function,,?BlurTextureLayer@@YAHHH@Z
0x0041ba20,function,,?DirectionalBlurTextureLayer@@YAXHHDH@Z
0x0041bbd0,function,,?AddTextureLayersSaturated@@YAXHH@Z
0x0041bc70,function,,?MaxTextureLayers@@YAXHH@Z
0x0041c160,function,,?ApplyTextureGradient@@YAXHCHHHHHH@Z
0x0041c280,function,,?BlendTextureLayersByMask@@YAXHHHC@Z
0x0041c3b0,function,,?EmbossTextureLayer@@YAXH@Z
0x004077f6,function,,?UpdateHiddenGameScreen@@YAHXZ
0x00408684,function,,?ApplyPairedAngularImpulse@@YAXPAPAUGameBox@@AAUVector3@@@Z
0x004089bc,function,,?BuildEdges@GameBox@@QAEXXZ
0x00408c14,function,,?ResetGameContactLists@@YAXXZ
0x004092d6,function,0x381,?ClipGeometry@GameBox@@QAEXAAU1@AAUVector3@@M@Z
0x0040b588,function,,?ApplyWaterInteractionToMovingBoxes@@YAXXZ
0x0040b776,function,,?Next@GameRandomGenerator@@QAEMXZ
0x0040fdae,function,,?RenderGameCrossMarker@@YAXPAUVector3@@PAX@Z
0x004103fb,function,0x10a,?FindNearestOpponent@GameMan@@QAEPAU1@AAUVector3@@0@Z
0x0042ab82,,,logEhHandler
0x004345a4,,,logEhDescriptor
0x0042abac,,,powerEhHandler
0x004345e0,,,powerEhDescriptor
0x0042ab16,,,stringConstructorEhHandler
0x00434510,,,stringConstructorEhDescriptor
0x0042b24c,string,11,stringConstructorDecimalDigits
0x0042ac18,,,writeStringEhHandler
0x00434678,,,writeStringEhDescriptor
0x0042ac90,,,settingsTransformEhHandler
0x004346fc,,,settingsTransformEhDescriptor
0x0042c27c,,,??_C@_0CF@GDODPGFN@0123456789ABCDEFGHIJKLMNOPQRSTUV@
0x0042c3c4,string,8,prepareEvaluationDumpFilename
0x0042c3cc,,,compileExpressionInvalidError
0x0042c3dc,,,compileExpressionCloseError
0x0042c3e8,,,compileExpressionOperatorError
0x0042c3fc,,,compileExpressionUnexpectedCloseError
0x0042c334,,,compileFunctionUnclosedError
0x0042c358,,,compileFunctionParameterError
0x0042c378,,,compileFunctionBraceError
0x0042c398,,,compileFunctionBuiltinOverrideError
0x0042c428,string,28,compileStatementConstantError
0x0042c444,string,33,compileStatementRepeatCloseError
0x0042c468,string,22,compileStatementRepeatBraceError
0x0042c480,string,39,compileStatementRepeatNegativeError
0x0042c4a8,string,36,compileStatementRepeatConstantError
0x0042c4cc,string,24,compileStatementRepeatParenthesisError
0x0042c4e4,string,10,compileStatementRepeatKeyword
0x0042c4f0,float,8,compileValueFractionScale
0x0042c500,string,20,compileValueExpectedError
0x0042c514,string,28,compileValueUnknownNameError
0x0042c530,string,19,compileValueUndefinedFunctionError
0x0042c544,string,24,compileValueMinusError
0x0042c55c,string,25,compileValueParameterError
0x0042b2d8,,,findOpponentLateralScale
0x0042c574,,,loadGameLevelErrorCaption
0x0042c588,,,loadGameLevelEditorTitle
0x0042c5a8,,,loadGameLevelEditedFilename
0x0042c5b8,,,loadGameLevelArenaExtent
0x004673b0,,,?g_gameLevelEditBuffer@@3DA
0x004ea47c,,,?g_gameMenuPage@@3HA
0x00be5ef8,,,?g_gameBoxTextureTriangleCounts@@3EA
0x00c0ee30,global,4,_g_gameTexturesEnd
0x00c0ee34,global,8,_g_gameTexturesOddEnd
